Unique numbers:
1 (1535)
4 (1394)
5 (1094)
6 (2149)
8 (3090)
10 (1351)
12 (3415)
17 (1683)
21 (2666)
25 (1395)
27 (2165)
28 (1454)
31 (1666)
32 (4248)
33 (1460)
35 (1984)
37 (1249)
38 (2402)
39 (4258)
41 (1353)
43 (1721)
45 (1728)
48 (2472)
51 (1612)
52 (1983)
54 (2595)
55 (1959)
57 (2743)
58 (1330)
68 (1601)
69 (2370)
70 (2411)
71 (3507)
72 (2852)
73 (2179)
75 (3151)
78 (2471)
85 (1555)
90 (1875)
93 (2777)
94 (1201)
97 (1466)
100 (1749)
104 (1158)
105 (1100)
110 (1801)
111 (1171)
112 (2680)
115 (1775)
116 (2193)
120 (4973)
122 (1081)
125 (1287)
126 (1075)
129 (1547)
130 (1711)
132 (2641)
140 (2687)
143 (1417)
145 (4559)
147 (1383)
151 (2611)
154 (1447)
157 (1140)
161 (2320)
162 (1450)
163 (1256)
168 (1538)
170 (1203)
171 (1097)
173 (1080)
175 (2791)
177 (4629)
181 (1235)
183 (3883)
185 (1529)
192 (2004)
196 (2096)
197 (1230)
198 (1461)
201 (1029)
204 (2174)
205 (3605)
207 (1214)
208 (1483)
210 (2009)
214 (1893)
217 (5375)
227 (1818)
229 (2281)
234 (1416)
236 (2618)
239 (2742)
240 (1399)
242 (2325)
258 (1036)
259 (1522)
265 (1359)
266 (1022)
274 (2628)
275 (1692)
276 (2479)
279 (3014)
280 (2108)
283 (4082)
285 (2600)
290 (1793)
294 (1445)
296 (2210)
308 (1402)
309 (1262)
310 (1390)
319 (1371)
322 (1154)
325 (1022)
326 (1488)
332 (1861)
334 (2146)
335 (1345)
336 (1071)
343 (1599)
346 (3470)
348 (1226)
349 (2041)
350 (3069)
351 (1641)
354 (5835)
357 (1142)
361 (1104)
362 (4388)
366 (1031)
368 (7828)
373 (2007)
377 (1149)
378 (1149)
381 (2959)
385 (1676)
387 (2089)
390 (2685)
392 (2420)
394 (1145)
401 (3667)
403 (1722)
405 (1525)
411 (2047)
413 (2637)
